"","location_key","life_expectancy","smoking_prevalence","diabetes_prevalence","infant_mortality_rate","adult_male_mortality_rate","adult_female_mortality_rate","pollution_mortality_rate","comorbidity_mortality_rate","hospital_beds_per_1000","nurses_per_1000","physicians_per_1000","health_expenditure_usd","out_of_pocket_health_expenditure_usd"
"1","AD",NA,33.5,7.7,2.7,NA,NA,NA,NA,NA,4.0128,3.3333,4040.786621,1688.12146
"2","AE",77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,NA,5.7271,2.5278,1357.017456,256.034485
"3","AF",64.486,NA,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913
"4","AG",76.885,NA,13.1,5,126.917,83.136,29.9,22.6,NA,4.5171,2.956,673.85968,235.749039
"5","AL",78.9,28.7,9,7.8,93.315,49.486,68,17,NA,3.6495,1.2164,NA,NA
"6","AM",74.945,24.1,6.1,11,173.428,65.595,54.8,22.3,4.2,6.107,4.4023,407.635864,343.832977
"7","AO",60.782,NA,4.5,51.6,327.044,220.291,118.5,16.5,NA,0.4075,0.2146,114.459641,39.054794
"8","AR",76.52,21.8,5.9,8.8,147.086,79.483,26.6,15.8,NA,2.5996,3.9901,1324.603516,198.935944
"9","AT",81.8,29.6,6.6,2.9,79.032,41.779,15.3,11.4,NA,7.0899,5.1697,4939.875488,948.617432
"10","AT_1",81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","AT_2",81.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","AT_3",81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","AT_4",82.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","AT_5",82.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","AT_6",82.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","AT_7",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","AT_8",82.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","AT_9",80.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","AU",82.74878,14.7,5.6,3.1,75.835,44.673,8.4,9.1,NA,12.5508,3.6778,5331.817871,967.837036
"20","AW",76.152,NA,11.6,NA,110.63,68.514,NA,NA,NA,NA,NA,NA,NA
"21","AZ",72.864,20.8,6.1,19.2,149.499,89.073,63.9,22.2,NA,NA,NA,275.809357,231.283081
"22","BA",77.262,38.9,9,5,115.278,59.775,79.8,17.8,NA,5.7333,2.1616,460.473328,134.178741
"23","BB",79.081,7.8,13.4,11.3,129.531,91.939,31.1,16.2,NA,3.06,2.4843,1183.836182,548.158508
"24","BD",72.32,23,9.2,25.1,151.411,114.505,149,21.6,0.8,0.4124,0.5809,36.282337,26.807108
"25","BE",81.7,28.2,4.6,2.9,80.262,49.245,15.7,11.4,NA,19.4614,3.0709,4507.356445,795.017578
"26","BE_BRU",81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","BE_VAN",82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","BE_VLG",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","BE_VLI",83.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","BE_VOV",82.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","BE_VWV",82.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","BE_WBR",82.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","BE_WHT",79.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","BE_WLG",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","BE_WLX",80.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","BE_WNA",79.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","BF",61.174,12.5,7.3,49,260.379,228.16,206.2,21.7,NA,0.8829,0.0847,44.403492,14.065959
"38","BG",75,37,6,5.9,183.956,86.496,61.8,23.6,NA,4.8156,4.0332,663.715088,308.97641
"39","BH",77.163,26.4,15.6,6.1,72.073,56.217,40.1,11.3,NA,2.4944,0.9257,1127.186279,344.379944
"40","BI",61.247,NA,5.1,41,310.651,253.135,179.9,22.9,NA,0.8526,0.1001,23.500433,5.98391
"41","BJ",61.47,6.4,1,60.5,258.647,211.008,205,19.6,NA,0.3888,0.0791,30.766447,13.838727
"42","BM",81.651707,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","BN",75.722,16.9,13.3,9.8,143.719,98.803,13.3,16.6,2.7,5.8974,1.609,671.411499,34.756348
"44","BO",71.239,NA,6.8,21.8,219.194,138.315,63.7,17.2,NA,1.5589,1.5901,220.274567,55.240124
"45","BR",75.672,13.9,10.4,12.8,188.528,91.421,29.9,16.6,NA,10.119,2.1643,928.799316,255.006439
"46","BS",73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,NA,4.5669,2.0068,1771.535522,548.865479
"47","BT",71.46,NA,10.3,24.8,197.28,194.721,124.5,23.3,NA,1.8518,0.4242,96.799301,12.880568
"48","BW",69.275,20,5.8,30,249.384,161.962,101.3,20.3,NA,5.403,0.5269,465.929321,13.946393
"49","BY",74.17561,26.7,5,2.6,234.903,82.559,60.7,23.7,NA,11.0027,5.1905,342.499908,94.238846
"50","BZ",74.496,NA,17.1,11.2,213.827,117.655,68.6,22.1,NA,2.3414,1.1229,280.49881,67.754105
"51","CA",81.94878,14.3,7.6,4.3,82.625,51.763,7,9.8,NA,9.9438,2.6102,4754.947754,676.141724
"52","CA_AB",81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","CA_MB",80.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","CA_NB",80.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","CA_NL",79.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","CA_NS",80.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","CA_ON",80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","CA_QC",82.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
