"","iso_code","continent","location","date","diabetes_prevalence","cardiovasc_death_rate","total_deaths","total_cases","population_density","median_age"
"1","AFG","Asia","Afghanistan","2023-04-12",9.59,597.029,7884,211630,54.422,18.6
"2","ALB","Europe","Albania","2023-04-12",10.08,304.195,3604,333897,104.871,38
"3","DZA","Africa","Algeria","2023-04-12",6.73,278.364,6881,271613,17.348,29.1
"4","AGO","Africa","Angola","2023-04-12",3.94,276.045,1934,105353,23.89,16.8
"5","ATG","North America","Antigua and Barbuda","2023-04-12",13.17,191.511,146,9106,231.845,32.1
"6","ARG","South America","Argentina","2023-04-12",5.5,191.032,130472,10044957,16.177,31.9
"7","ARM","Asia","Armenia","2023-04-12",7.11,341.01,8743,448707,102.931,35.7
"8","AUS","Oceania","Australia","2023-04-12",5.07,107.791,19906,11153745,3.202,37.9
"9","AUT","Europe","Austria","2023-04-12",6.35,145.183,22183,6046956,106.749,44.4
"10","AZE","Asia","Azerbaijan","2023-04-12",7.11,559.812,10197,830367,119.309,32.4
"11","BHS","North America","Bahamas","2023-04-12",13.17,235.954,833,37491,39.497,34.3
"12","BHR","Asia","Bahrain","2023-04-12",16.52,151.689,1536,696614,1935.907,32.4
"13","BGD","Asia","Bangladesh","2023-04-12",8.38,298.003,29446,2038091,1265.036,27.5
"14","BRB","North America","Barbados","2023-04-12",13.57,170.05,582,107332,664.463,39.8
"15","BLR","Europe","Belarus","2023-04-12",5.18,443.129,7118,994037,46.858,40.3
"16","BEL","Europe","Belgium","2023-04-12",4.29,114.898,34115,4782863,375.564,41.8
"17","BLZ","North America","Belize","2023-04-12",17.11,176.957,688,70782,16.426,25
"18","BEN","Africa","Benin","2023-04-12",0.99,235.848,163,28014,99.11,18.8
"19","BTN","Asia","Bhutan","2023-04-12",9.75,217.066,21,62650,21.188,28.6
"20","BOL","South America","Bolivia","2023-04-12",6.89,204.299,22374,1195880,10.202,25.4
"21","BIH","Europe","Bosnia and Herzegovina","2023-04-12",10.08,329.635,16328,402636,68.496,42.5
"22","BWA","Africa","Botswana","2023-04-12",4.81,237.372,2795,329837,4.044,25.8
"23","BRA","South America","Brazil","2023-04-12",8.11,177.961,700556,37319254,25.04,33.5
"24","BRN","Asia","Brunei","2023-04-12",12.79,201.285,153,284632,81.347,32.4
"25","BGR","Europe","Bulgaria","2023-04-12",5.81,424.688,38282,1301475,65.18,44.7
"26","BFA","Africa","Burkina Faso","2023-04-12",2.42,269.048,396,22056,70.151,17.6
"27","BDI","Africa","Burundi","2023-04-12",6.05,293.068,15,53719,423.062,17.5
"28","KHM","Asia","Cambodia","2023-04-12",4,270.892,3056,138726,90.672,25.6
"29","CMR","Africa","Cameroon","2023-04-12",7.2,244.661,1970,124834,50.885,18.8
"30","CAN","North America","Canada","2023-04-12",7.37,105.599,52121,4634277,4.037,41.4
"31","CPV","Africa","Cape Verde","2023-04-12",2.42,182.219,413,63281,135.58,25.7
"32","CAF","Africa","Central African Republic","2023-04-12",6.1,435.727,113,15367,7.479,18.3
"33","TCD","Africa","Chad","2023-04-12",6.1,280.995,194,7696,11.833,16.7
"34","CHL","South America","Chile","2023-04-12",8.46,127.993,64497,5272767,24.282,35.4
"35","CHN","Asia","China","2023-04-12",9.74,261.899,120905,99239252,147.674,38.7
"36","COL","South America","Colombia","2023-04-12",7.44,124.24,142690,6363058,44.223,32.2
"37","COM","Africa","Comoros","2023-04-12",11.88,261.516,160,9093,437.352,20.4
"38","COG","Africa","Congo","2023-04-12",7.2,344.094,389,25185,15.405,19
"39","CRI","North America","Costa Rica","2023-04-12",8.78,137.973,9326,1226315,96.079,33.6
"40","CIV","Africa","Cote d'Ivoire","2023-04-12",2.42,303.74,834,88308,76.399,18.7
"41","HRV","Europe","Croatia","2023-04-12",5.59,253.782,18091,1271276,73.726,44
"42","CUB","North America","Cuba","2023-04-12",8.27,190.968,8530,1112853,110.408,43.1
"43","CYP","Europe","Cyprus","2023-04-12",9.24,141.171,1349,655664,127.657,37.3
"44","CZE","Europe","Czechia","2023-04-12",6.82,227.485,42702,4636282,137.176,43.3
"45","COD","Africa","Democratic Republic of Congo","2023-04-12",6.1,318.949,1464,95944,35.879,17
"46","DNK","Europe","Denmark","2023-04-12",6.41,114.767,8420,3409630,136.52,42.3
"47","DJI","Africa","Djibouti","2023-04-12",6.05,258.037,189,15690,41.285,25.4
"48","DOM","North America","Dominican Republic","2023-04-12",8.2,266.653,4384,660937,222.873,27.6
"49","ECU","South America","Ecuador","2023-04-12",5.55,140.448,36017,1059529,66.939,28.1
"50","EGY","Africa","Egypt","2023-04-12",17.31,525.432,24823,515913,97.999,25.3
"51","SLV","North America","El Salvador","2023-04-12",8.87,167.295,4230,201785,307.811,27.6
"52","GNQ","Africa","Equatorial Guinea","2023-04-12",7.78,202.812,183,17130,45.194,22.4
"53","ERI","Africa","Eritrea","2023-04-12",6.05,311.11,103,10189,44.304,19.3
"54","EST","Europe","Estonia","2023-04-12",4.02,255.569,2979,617247,31.033,42.7
"55","SWZ","Africa","Eswatini","2023-04-12",3.94,333.436,1425,74520,79.492,21.5
"56","ETH","Africa","Ethiopia","2023-04-12",7.47,182.634,7573,500731,104.957,19.8
"57","FJI","Oceania","Fiji","2023-04-12",14.49,412.82,883,68914,49.562,28.6
"58","FIN","Europe","Finland","2023-04-12",5.76,153.507,9097,1468123,18.136,42.8
"59","FRA","Europe","France","2023-04-12",4.77,86.06,162176,38791479,122.578,42
"60","GAB","Africa","Gabon","2023-04-12",7.2,259.967,306,48981,7.859,23.1
"61","GMB","Africa","Gambia","2023-04-12",1.91,331.43,372,12622,207.566,17.5
"62","GEO","Asia","Georgia","2023-04-12",7.11,496.218,17032,1836791,65.032,38.7
"63","DEU","Europe","Germany","2023-04-12",8.31,156.139,171411,38368891,237.016,46.6
"64","GHA","Africa","Ghana","2023-04-12",4.97,298.245,1462,171527,126.719,21.1
"65","GRC","Europe","Greece","2023-04-12",4.55,175.695,36629,5972760,83.479,45.3
"66","GRD","North America","Grenada","2023-04-12",10.71,243.964,238,19683,317.132,29.4
"67","GUM","Oceania","Guam","2023-04-12",21.52,310.496,415,51017,304.128,31.4
"68","GTM","North America","Guatemala","2023-04-12",10.18,155.898,20187,1244812,157.834,22.9
"69","GIN","Africa","Guinea","2023-04-12",2.42,336.717,467,38280,51.755,19
"70","GNB","Africa","Guinea-Bissau","2023-04-12",2.42,382.474,176,9350,66.191,19.4
"71","GUY","South America","Guyana","2023-04-12",11.62,373.159,1298,73119,3.952,26.3
"72","HTI","North America","Haiti","2023-04-12",6.65,430.548,860,34202,398.448,24.3
"73","HND","North America","Honduras","2023-04-12",7.21,240.208,11111,472467,82.805,24.9
"74","HUN","Europe","Hungary","2023-04-12",7.55,278.296,48719,2199764,108.043,43.4
"75","ISL","Europe","Iceland","2023-04-12",5.31,117.992,260,209191,3.404,37.3
"76","IND","Asia","India","2023-04-12",10.39,282.28,531000,44768172,450.419,28.2
"77","IDN","Asia","Indonesia","2023-04-12",6.32,342.864,161071,6752606,145.725,29.3
"78","IRN","Asia","Iran","2023-04-12",9.59,270.308,145571,7597982,49.831,32.4
"79","IRQ","Asia","Iraq","2023-04-12",8.83,218.612,25375,2465545,88.125,20
"80","IRL","Europe","Ireland","2023-04-12",3.28,126.459,8782,1708435,69.874,38.7
"81","ISR","Asia","Israel","2023-04-12",6.74,93.32,12416,4817255,402.606,30.6
"82","ITA","Europe","Italy","2023-04-12",4.78,113.151,189262,25715384,205.859,47.9
"83","JAM","North America","Jamaica","2023-04-12",11.28,206.537,3529,154602,266.879,31.4
"84","JPN","Asia","Japan","2023-04-12",5.72,79.37,74096,33523927,347.778,48.2
"85","JOR","Asia","Jordan","2023-04-12",11.75,208.257,14122,1746997,109.285,23.2
"86","KAZ","Asia","Kazakhstan","2023-04-12",7.11,466.792,19072,1501450,6.681,30.6
"87","KEN","Africa","Kenya","2023-04-12",2.92,218.637,5688,342992,87.324,20
"88","KIR","Oceania","Kiribati","2023-04-12",22.66,434.657,18,5014,143.701,23.2
"89","KWT","Asia","Kuwait","2023-04-12",15.84,132.235,2570,665527,232.128,33.7
"90","KGZ","Asia","Kyrgyzstan","2023-04-12",7.11,436.362,2991,206849,32.333,26.3
"91","LAO","Asia","Laos","2023-04-12",4,368.111,671,218037,29.715,24.4
"92","LVA","Europe","Latvia","2023-04-12",4.91,350.06,6319,977172,31.212,43.9
"93","LBN","Asia","Lebanon","2023-04-12",12.71,266.591,10874,1235177,594.561,31.1
"94","LSO","Africa","Lesotho","2023-04-12",3.94,405.126,706,34490,73.562,22.2
"95","LBR","Africa","Liberia","2023-04-12",2.42,272.509,294,8090,49.127,19.2
"96","LBY","Africa","Libya","2023-04-12",10.43,341.862,6437,507229,3.623,29
"97","LTU","Europe","Lithuania","2023-04-12",3.67,342.989,9647,1316086,45.135,43.5
"98","LUX","Europe","Luxembourg","2023-04-12",4.42,128.275,1232,319959,231.447,39.7
"99","MDG","Africa","Madagascar","2023-04-12",3.94,405.994,1424,68105,43.951,19.6
"100","MWI","Africa","Malawi","2023-04-12",3.94,227.349,2686,88620,197.519,18.1
"101","MYS","Asia","Malaysia","2023-04-12",16.74,260.942,36982,5052337,96.254,29.9
