"Country" "Total.Cases" "New.Cases" "Total.Deaths" "New.Deaths" "Total.Recovered" "New.Recovered" "Active.Cases" "Serious..Critical" "Tot.Cases.1M.pop" "Deaths.1M.pop" "Total.Tests" "Tests.1M.pop" "Population"
"USA" 77150412 NA 920.829 NA 47313736 NA 28915847 21.642 230.928 2.756 910155553 2724296 334088290
"India" 41952712 NA 500.087 NA 40017088 NA 1435537 8.944 29.933 357 735804280 524986 1401569003
"Brazil" 26099735 NA 630.001 NA 22602506 NA 2867228 8.318 121.416 2.931 63776166 296687 214961303
"France" 20147341 NA 131.852 NA 13437823 NA 6577666 3.641 307.578 2.013 231648947 3536455 65503153
"UK" 17689885 84.053 157.984 254 14977096 145655 2554805 478 258.424 2.308 458465073 6697523 68452931
"Russia" 12452765 168.201 334.039 682 10449181 58449 1669545 2.3 85.273 2.287 247600000 1695496 146033957
"Turkey" 11940695 NA 88.064 NA 11173406 NA 679225 1.128 139.199 1.027 132672261 1546631 85781430
"Italy" 11449601 99.522 148.167 433 9083090 210353 2218344 1.44 189.813 2.456 174643465 2895261 60320461
"Germany" 10599244 55.926 119.095 26 7953200 84000 2526949 2.274 125.867 1.414 89622218 1064272 84209874
"Spain" 10199716 NA 94.04 NA 6480464 NA 3625212 1.947 218.019 2.01 66213858 1415323 46783572
"Argentina" 8515285 NA 122.152 NA 7944013 NA 449120 2.75 185.7 2.664 32832664 716011 45854971
"Iran" 6520707 36.908 132.681 57 6130566 9213 257460 2.085 76.086 1.548 44694344 521513 85701369
"Colombia" 5930393 NA 135.043 NA 5708271 NA 87079 342 114.608 2.61 32330508 624806 51744856
"Poland" 5083332 47.534 106.306 246 4152725 53712 824301 1.095 134.548 2.814 31197805 825760 37780702
"Mexico" 5068985 41.115 308.141 648 4209605 44335 551239 4.798 38.669 2.351 14286258 108984 131085724
"Netherlands" 4757035 68.916 21.313 3 3202015 24483 1533707 228 276.65 1.239 21107399 1227520 17195151
"Indonesia" 4446694 32.211 144.453 42 4161987 7190 140254 748 15.988 519 73660662 264852 278120541
"Ukraine" 4213675 43.778 100.983 174 3660351 9497 452341 177 97.278 2.331 18404417 424888 43315962
"South Africa" 3616075 NA 95.545 NA 3465681 NA 54849 546 59.773 1.579 22374263 369841 60497000
"Philippines" 3594002 8.564 54.214 46 3388399 10474 151389 320 32.118 484 27345917 244381 111898732
"Peru" 3308693 NA 206.406 NA NA NA NA 1.345 98.176 6.125 25652377 761160 33701685
"Belgium" 3267656 38.027 29.185 53 2104152 8280 1134319 432 280.009 2.501 30533656 2616465 11669812
"Czechia" 3181709 37.662 37.363 14 2790660 53748 353686 196 296.233 3.479 50763494 4726332 10740569
"Israel" 3111307 62.302 9.111 98 2510076 NA 592120 1.134 333.616 977 41373364 4436346 9326000
"Canada" 3094137 NA 34.366 NA 2879249 NA 180522 1.14 80.854 898 56710521 1481925 38268148
"Japan" 3007476 103.038 19.039 90 2246184 50701 742253 1.042 23.895 151 34431344 273567 125860808
"Malaysia" 2887780 NA 32 NA 2794354 NA 61426 114 87.442 969 44770479 1355655 33024985
"Portugal" 2843029 47.199 20.127 50 2180109 46469 642793 174 280.117 1.983 33409187 3291729 10149434
"Australia" 2677871 32.046 4.073 84 2379508 NA 294290 319 103.114 157 61488681 2367673 25970089
"Thailand" 2475632 9.909 22.253 22 2366909 7827 86470 542 35.327 318 17270775 246449 70078446
"Romania" 2356792 31.776 60.45 96 1972402 10891 323940 1.036 123.823 3.176 19544993 1026867 19033623
"Switzerland" 2354832 17.006 12.886 2 1425936 33312 916010 194 268.963 1.472 17353304 1982050 8755232
"Vietnam" 2315689 11.594 38.147 84 2102456 8509 175086 2.213 23.455 386 77273570 782670 98730673
"Chile" 2296712 37.468 39.867 43 1774364 1758 482481 545 118.528 2.057 30422814 1570045 19377029
"Sweden" 2287785 NA 16.143 NA 1383268 24003 888374 106 224.306 1.583 17101699 1676740 10199374
"Iraq" 2240294 6.569 24.476 21 2137200 7312 78618 175 53.781 588 17534658 420942 41655773
"Greece" 2020846 18.64 23.927 94 1769478 11996 227441 564 195.4 2.314 58404821 5647290 10342097
"Austria" 1995346 36.329 14.192 25 1642027 27648 339127 199 219.556 1.562 145771011 16039782 9088092
"Bangladesh" 1844828 9.052 28.524 30 1587374 6282 228930 1.516 11.027 170 12652514 75629 167297211
"Denmark" 1842278 37.938 3.828 17 1266755 43650 571695 33 316.291 657 120933942 20762507 5824631
"Serbia" 1745005 14.519 13.868 61 1435385 12738 295752 151 201.005 1.597 8273974 953068 8681408
"Hungary" 1616846 16.435 41.741 105 1347698 16822 227407 168 168.048 4.338 10207444 1060916 9621347
"Pakistan" 1448663 6.4 29.42 48 1317385 4566 101858 1.618 6.362 129 25258723 110927 227704961
"Jordan" 1301492 21.386 13.288 17 1160624 13724 127580 1.101 125.577 1.282 14963667 1443794 10364126
"Georgia" 1272371 22.263 15.141 39 1053966 15575 203264 NA 319.933 3.807 14776529 3715505 3976991
"Kazakhstan" 1260407 6.648 13.32 25 1128207 13374 118880 528 65.874 696 11575012 604956 19133637
"Ireland" 1205914 6.697 6.228 NA 878627 17656 321059 63 239.962 1.239 11015471 2191939 5025446
"Morocco" 1143974 2.266 15.54 25 1095688 4750 32746 293 30.42 413 11237010 298810 37605836
"Slovakia" 1081929 19.533 17.921 25 885937 7016 178071 268 198.016 3.28 5720789 1047026 5463847
"Cuba" 1050840 1.434 8.427 7 1033955 2721 8458 54 92.866 745 12751995 1126937 11315623
"Bulgaria" 980402 NA 33.588 NA 689326 NA 257488 568 142.806 4.892 8595169 1251978 6865270
"Croatia" 971464 8.094 14.035 46 899743 10289 57686 185 238.982 3.453 4301921 1058281 4065010
"Nepal" 964119 1.602 11.794 16 895868 8425 56457 100 32.17 394 5263830 175641 29969280
"Lebanon" 948728 NA 9.657 NA 682977 NA 256094 186 139.996 1.425 4795578 707642 6776842
"S. Korea" 934656 27.442 6.836 24 642045 4885 285775 257 18.205 133 15804065 307835 51339340
"Tunisia" 930090 NA 26.496 NA 811265 NA 92329 200 77.41 2.205 4092366 340600 12015169
"Bolivia" 867071 3.396 21.073 28 709082 5443 136916 220 72.704 1.767 2653186 222470 11926041
"UAE" 851537 NA 2.253 NA 780893 NA 68391 NA 84.475 224 126670885 12566172 10080308
"Norway" 849389 NA 1.467 NA 88952 NA 758970 48 154.754 267 9852076 1794999 5488625
"Slovenia" 774584 11.656 5.933 21 573621 9844 195030 133 372.505 2.853 2520743 1212250 2079392
"Belarus" 760845 7.35 6.116 17 749595 1114 5134 NA 80.561 648 11870801 1256917 9444381
"Ecuador" 739297 NA 34.572 NA NA NA NA 759 40.916 1.913 2470170 136710 18068721
"Lithuania" 727169 12.294 7.952 13 617747 8277 101470 92 273.178 2.987 7357070 2763855 2661887
"Panama" 717171 NA 7.788 NA 653184 NA 56199 35 162.157 1.761 5267010 1190909 4422682
"Costa Rica" 715749 NA 7.621 NA 578848 NA 129280 125 138.495 1.475 3324431 643265 5168056
"Saudi Arabia" 702624 3.555 8.95 3 657995 4023 35679 1.042 19.695 251 38442632 1077570 35675286
"Guatemala" 702310 NA 16.446 NA 643375 NA 42489 5 38.082 892 3633506 197023 18441994
"Uruguay" 700511 NA 6.579 NA 627307 NA 66625 157 200.555 1.884 5303071 1518256 3492870
"Azerbaijan" 683476 7.05 8.823 26 637429 3435 37224 NA 66.457 858 6227883 605564 10284439
"Sri Lanka" 615902 1.243 15.544 29 580220 440 20138 NA 28.572 721 6155804 285573 21555989
"Paraguay" 598170 NA 17.476 NA 515970 NA 64724 207 82.259 2.403 2392350 328991 7271771
"Kuwait" 564735 NA 2.503 NA 507174 NA 55058 89 129.203 573 7018332 1605687 4370922
"Dominican Republic" 558936 NA 4.315 NA 549219 NA 5402 155 50.716 392 2973479 269806 11020810
"Myanmar" 537223 319 19.31 NA 513779 117 4134 NA 9.77 351 6469724 117654 54989637
"Palestine" 515499 NA 4.865 NA 451681 NA 58953 88 97.453 920 2958990 559385 5289716
"Finland" 514892 6.952 2.058 17 46000 NA 466834 37 92.7 371 9531275 1715985 5554405
"Venezuela" 491016 NA 5.469 NA 468534 NA 17013 230 17.346 193 3359014 118660 28307827
"Ethiopia" 466126 NA 7.353 NA 400013 NA 58760 237 3.901 62 4367909 36556 119484712
"Moldova" 455095 NA 10.718 NA 392995 NA 51382 224 113.234 2.667 2774700 690386 4019055
"Mongolia" 447464 694 2.117 1 313256 NA 132091 192 133.088 630 4030048 1198647 3362165
"Libya" 445876 3.917 6.052 8 397291 1615 42533 133 63.517 862 2261656 322184 7019767
"Egypt" 432761 NA 22.78 NA 364528 NA 45453 122 4.106 216 3693367 35041 105400234
"Latvia" 432370 10.137 4.934 11 320217 5963 107219 76 233.33 2.663 6205504 3348829 1853037
"Bahrain" 398665 NA 1.41 NA 341855 NA 55400 23 222.047 785 8873645 4942417 1795406
"Honduras" 391874 NA 10.504 NA 127038 NA 254332 105 38.59 1.034 1189896 117175 10154885
"Armenia" 383458 4.192 8.075 10 346224 2510 29159 NA 129.021 2.717 2762988 929658 2972049
"Singapore" 366473 NA 860 NA 347231 NA 18382 9 61.868 145 22779662 3845655 5923480
"Estonia" 366089 8.004 2.047 NA 273196 3690 90846 14 275.679 1.541 2879688 2168517 1327953
"Bosnia and Herzegovina" 354325 1.188 14.672 69 192218 NA 147435 NA 109.078 4.517 1643253 505870 3248369
"Oman" 346041 NA 4.158 NA 319220 NA 22663 56 65.133 783 2.5e+07 4705606 5312812
"Qatar" 343808 997 652 1 327539 2913 15617 50 122.447 232 3317441 1181507 2807805
"Kenya" 321922 158 5.604 NA 295580 46 20738 11 5.785 101 3247589 58355 55652189
"Zambia" 306777 430 3.928 3 299726 532 3123 58 15.977 205 3198039 166554 19201165
"North Macedonia" 274144 NA 8.494 NA 251688 NA 13962 NA 131.595 4.077 1803508 865723 2083238
"Cyprus" 265945 NA 736 NA 124370 NA 140839 60 217.75 603 9477138 7759687 1221330
"Albania" 262271 NA 3.369 NA 242445 NA 16457 23 91.295 1.173 1637312 569936 2872801
"Botswana" 256041 NA 2.585 NA 248771 NA 4685 1 105.495 1.065 2026898 835132 2427040
"Algeria" 255836 NA 6.618 NA 169972 NA 79246 40 5.672 147 230861 5118 45108886
